"","ID","Larvae_pCO2","Age","Length"
"1","1","Low pCO2","10",165.4
"2","2","Low pCO2","10",168.9
"3","3","Low pCO2","10",177.5
"4","10","Moderate pCO2","10",169.1
"5","11","Moderate pCO2","10",167.6
"6","12","Moderate pCO2","10",149.4
