"","**Characteristic**","**exp(Beta)**","**95% CI**","**p-value**"
"1","Generation2","0.75","0.71, 0.79","<0.001"
"2","Larvae_pCO2Moderate pCO2","1.04","0.99, 1.10","0.093"
