"","ID","Larvae_pCO2","Age","Length"
"1","1","Low pCO2","2",104.7
"2","2","Low pCO2","2",100.1
"3","3","Low pCO2","2",104.5
"4","10","Moderate pCO2","2",104.1
"5","11","Moderate pCO2","2",99.2
"6","12","Moderate pCO2","2",99.6
