"","ID","Larvae_pCO2","Age","Length"
"1","1","Low pCO2","12",181.6
"2","2","Low pCO2","12",187.7
"3","3","Low pCO2","12",188.8
"4","10","Moderate pCO2","12",175.2
"5","11","Moderate pCO2","12",173.3
"6","12","Moderate pCO2","12",176.7
