Parental_OA,Exposure_OA,Run,Generation,Tank,Tank_Number,Date,Age,Count,Destructive_sampling,Cumulative_destructive_sampling,proportion_rel_stocking,Percent_Survival_rel_stocking,proportion_rel_dstage,Percent_Survival_rel_dstage
LOW,LOW,4,2,A,1,8/16/2022,0,203077,0,0,1,100,NA,NA
LOW,LOW,4,2,B,2,8/16/2022,0,203077,0,0,1,100,NA,NA
LOW,LOW,4,2,C,3,8/16/2022,0,203077,0,0,1,100,NA,NA
MODERATE,MODERATE,4,2,A,10,8/16/2022,0,440085,0,0,1,100,NA,NA
MODERATE,MODERATE,4,2,B,11,8/16/2022,0,440085,0,0,1,100,NA,NA
MODERATE,MODERATE,4,2,C,12,8/16/2022,0,440085,0,0,1,100,NA,NA
LOW,LOW,4,2,A,1,8/18/2022,2,"60,667",130,0,0.299,29.9,1,100
LOW,LOW,4,2,B,2,8/18/2022,2,"40,133",86,0,0.198,19.8,1,100
LOW,LOW,4,2,C,3,8/18/2022,2,"49,200",123,0,0.242,24.2,1,100
MODERATE,MODERATE,4,2,A,10,8/18/2022,2,"63,600",159,0,0.145,14.5,1,100
MODERATE,MODERATE,4,2,B,11,8/18/2022,2,"64,000",120,0,0.145,14.5,1,100
MODERATE,MODERATE,4,2,C,12,8/18/2022,2,"74,200",159,0,0.169,16.9,1,100
LOW,LOW,4,2,A,1,8/22/2022,6,"16,800",36,130,0.083,8.3,0.3,27.8
LOW,LOW,4,2,B,2,8/22/2022,6,"11,250",25,86,0.055,5.5,0.3,28.1
LOW,LOW,4,2,C,3,8/22/2022,6,"17,400",29,123,0.086,8.6,0.4,35.5
MODERATE,MODERATE,4,2,A,10,8/22/2022,6,"37,200",93,159,0.085,8.5,0.6,58.6
MODERATE,MODERATE,4,2,B,11,8/22/2022,6,"30,000",50,120,0.068,6.8,0.5,47.0
MODERATE,MODERATE,4,2,C,12,8/22/2022,6,"26,600",76,159,0.06,6,0.4,35.9
LOW,LOW,4,2,A,1,8/24/2022,8,"12,333",49,166,0.061,6.1,0.2,20.4
LOW,LOW,4,2,B,2,8/24/2022,8,"5,867",29,111,0.029,2.9,0.1,14.7
LOW,LOW,4,2,C,3,8/24/2022,8,"13,770",68,152,0.068,6.8,0.3,28.1
MODERATE,MODERATE,4,2,A,10,8/24/2022,8,"18,000",90,252,0.041,4.1,0.3,28.4
MODERATE,MODERATE,4,2,B,11,8/24/2022,8,"25,250",126,170,0.057,5.7,0.4,39.6
MODERATE,MODERATE,4,2,C,12,8/24/2022,8,"19,000",119,235,0.043,4.3,0.3,25.7
LOW,LOW,4,2,A,1,8/26/2022,10,"5,800",29,215,0.029,2.9,0.1,9.6
LOW,LOW,4,2,B,2,8/26/2022,10,"3,200",32,140,0.016,1.6,0.1,8.0
LOW,LOW,4,2,C,3,8/26/2022,10,"6,000",24,220,0.03,3,0.1,12.2
MODERATE,MODERATE,4,2,A,10,8/26/2022,10,"17,200",86,342,0.039,3.9,0.3,27.2
MODERATE,MODERATE,4,2,B,11,8/26/2022,10,"17,000",68,296,0.039,3.9,0.3,26.7
MODERATE,MODERATE,4,2,C,12,8/26/2022,10,"15,000",60,354,0.034,3.4,0.2,20.3
LOW,LOW,4,2,A,1,8/30/2022,14,"2,400",8,244,0.012,1.2,0.0,4.0
LOW,LOW,4,2,B,2,8/30/2022,14,"1,333",5,172,0.007,0.7,0.0,3.3
