Parental_OA,Exposure_OA,Run,Generation,Tank,Tank_Number,Date,Age,Count,Destructive_sampling,Cumulative_destructive_sampling,proportion_rel_stocking,Percent_Survival_rel_stocking,proportion_rel_dstage,Percent_Survival_rel_dstage
LOW,LOW,4,2,C,3,8/30/2022,14,"6,000",30,244,0.03,3,0.1,12.3
MODERATE,MODERATE,4,2,A,10,8/30/2022,14,"11,167",67,428,0.025,2.5,0.2,17.7
MODERATE,MODERATE,4,2,B,11,8/30/2022,14,"9,000",54,364,0.02,2,0.1,14.1
MODERATE,MODERATE,4,2,C,12,8/30/2022,14,"12,000",72,414,0.027,2.7,0.2,16.3
LOW,LOW,4,2,A,1,9/6/2022,21,"1,139.00",0,244,0.006,0.6,0.0,1.9
LOW,LOW,4,2,B,2,9/6/2022,21,"2,208.00",0,172,0.011,1.1,0.1,5.5
LOW,LOW,4,2,C,3,9/6/2022,21,700,0,244,0.003,0.3,0.0,1.4
MODERATE,MODERATE,4,2,A,10,9/6/2022,21,600,0,428,0.001,0.1,0.0,0.9
MODERATE,MODERATE,4,2,B,11,9/6/2022,21,399,0,364,0.001,0.1,0.0,0.6
MODERATE,MODERATE,4,2,C,12,9/6/2022,21,348,0,414,0.001,0.1,0.0,0.5
WILD,LOW,1,1,A,1,,0,238160,0,0,1,100,NA,NA
WILD,LOW,1,1,B,2,,0,238160,0,0,1,100,NA,NA
WILD,LOW,1,1,C,3,,0,238160,0,0,1,100,NA,NA
WILD,LOW,1,1,D,4,,0,238160,0,0,1,100,NA,NA
WILD,LOW,1,1,E,5,,0,238160,0,0,1,100,NA,NA
WILD,MODERATE,1,1,A,6,,0,238160,0,0,1,100,NA,NA
WILD,MODERATE,1,1,B,7,,0,238160,0,0,1,100,NA,NA
WILD,MODERATE,1,1,C,8,,0,238160,0,0,1,100,NA,NA
WILD,MODERATE,1,1,D,9,,0,238160,0,0,1,100,NA,NA
WILD,MODERATE,1,1,E,10,,0,224420,0,0,1,100,NA,NA
WILD,HIGH,1,1,A,11,,0,238160,0,0,1,100,NA,NA
WILD,HIGH,1,1,B,12,,0,238160,0,0,1,100,NA,NA
WILD,HIGH,1,1,C,13,,0,238160,0,0,1,100,NA,NA
WILD,HIGH,1,1,D,14,,0,238160,0,0,1,100,NA,NA
WILD,HIGH,1,1,E,15,,0,238160,0,0,1,100,NA,NA
WILD,LOW,1,1,A,1,7/28/2021,2,91250,146,0,0.4,38.3,1,100
WILD,LOW,1,1,B,2,7/28/2021,2,64375,103,0,0.3,27.0,1,100
WILD,LOW,1,1,C,3,7/28/2021,2,75625,121,0,0.3,31.8,1,100
WILD,LOW,1,1,D,4,7/28/2021,2,79375,127,0,0.3,33.3,1,100
WILD,LOW,1,1,E,5,7/28/2021,2,76875,123,0,0.3,32.3,1,100
WILD,MODERATE,1,1,A,6,7/28/2021,2,50000,80,0,0.2,21.0,1,100
WILD,MODERATE,1,1,B,7,7/28/2021,2,55000,88,0,0.2,23.1,1,100
WILD,MODERATE,1,1,C,8,7/28/2021,2,45625,73,0,0.2,19.2,1,100
WILD,MODERATE,1,1,D,9,7/28/2021,2,55625,89,0,0.2,23.4,1,100
WILD,MODERATE,1,1,E,10,7/28/2021,2,60000,96,0,0.3,26.7,1,100
WILD,HIGH,1,1,A,11,7/28/2021,2,35000,56,0,0.1,14.7,1,100
WILD,HIGH,1,1,B,12,7/28/2021,2,28125,45,0,0.1,11.8,1,100
WILD,HIGH,1,1,C,13,7/28/2021,2,25000,40,0,0.1,10.5,1,100
WILD,HIGH,1,1,D,14,7/28/2021,2,16875,27,0,0.1,7.1,1,100
WILD,HIGH,1,1,E,15,7/28/2021,2,22500,36,0,0.1,9.4,1,100
WILD,LOW,1,1,A,1,7/30/2021,4,58667,88,146,0.2,24.6,0.6,64.4
WILD,LOW,1,1,B,2,7/30/2021,4,61500,123,103,0.3,25.8,1.0,95.7
WILD,LOW,1,1,C,3,7/30/2021,4,48000,96,121,0.2,20.1,0.6,63.6
WILD,LOW,1,1,D,4,7/30/2021,4,51500,103,127,0.2,21.6,0.6,65.0
WILD,LOW,1,1,E,5,7/30/2021,4,56500,113,123,0.2,23.7,0.7,73.6
WILD,MODERATE,1,1,A,6,7/30/2021,4,50000,100,80,0.2,21.0,1.0,100.2
WILD,MODERATE,1,1,B,7,7/30/2021,4,38500,77,88,0.2,16.1,0.7,70.1
WILD,MODERATE,1,1,C,8,7/30/2021,4,35333,53,73,0.1,14.8,0.8,77.6
WILD,MODERATE,1,1,D,9,7/30/2021,4,41500,83,89,0.2,17.4,0.7,74.7
WILD,MODERATE,1,1,E,10,7/30/2021,4,50500,101,96,0.2,22.5,0.8,84.3
WILD,HIGH,1,1,A,11,7/30/2021,4,14500,29,56,0.1,6.1,0.4,41.5
WILD,HIGH,1,1,B,12,7/30/2021,4,12500,25,45,0.1,5.2,0.4,44.5
WILD,HIGH,1,1,C,13,7/30/2021,4,12000,24,40,0.1,5.0,0.5,48.1
WILD,HIGH,1,1,D,14,7/30/2021,4,7000,14,27,0.0,2.9,0.4,41.5
WILD,HIGH,1,1,E,15,7/30/2021,4,11000,22,36,0.0,4.6,0.5,49.0
WILD,LOW,1,1,A,1,8/3/2021,8,34500,69,234,0.1,14.4,0.4,37.9
WILD,LOW,1,1,B,2,8/3/2021,8,43000,86,226,0.2,18.0,0.7,67.0
WILD,LOW,1,1,C,3,8/3/2021,8,20500,41,217,0.1,8.5,0.3,27.2
WILD,LOW,1,1,D,4,8/3/2021,8,31000,62,230,0.1,12.9,0.4,39.2
WILD,LOW,1,1,E,5,8/3/2021,8,26000,52,236,0.1,10.8,0.3,33.9
WILD,MODERATE,1,1,A,6,8/3/2021,8,20000,40,180,0.1,8.3,0.4,40.1
WILD,MODERATE,1,1,B,7,8/3/2021,8,26000,52,165,0.1,10.8,0.5,47.4
WILD,MODERATE,1,1,C,8,8/3/2021,8,26500,53,126,0.1,11.1,0.6,58.2
WILD,MODERATE,1,1,D,9,8/3/2021,8,25000,50,172,0.1,10.4,0.5,45.1
WILD,MODERATE,1,1,E,10,8/3/2021,8,22500,45,197,0.1,9.9,0.4,37.6
WILD,HIGH,1,1,A,11,8/3/2021,8,5500,11,85,0.0,2.3,0.2,15.8
WILD,HIGH,1,1,B,12,8/3/2021,8,3733,14,70,0.0,1.5,0.1,13.3
WILD,HIGH,1,1,C,13,8/3/2021,8,1867,7,64,0.0,0.8,0.1,7.5
WILD,HIGH,1,1,D,14,8/3/2021,8,3200,12,41,0.0,1.3,0.2,19.0
WILD,HIGH,1,1,E,15,8/3/2021,8,10667,16,58,0.0,4.5,0.5,47.5
WILD,LOW,1,1,A,1,8/5/2021,10,20600,40,303,0.1,8.5,0.2,22.7
WILD,LOW,1,1,B,2,8/5/2021,10,23960,47,312,0.1,9.9,0.4,37.4
WILD,LOW,1,1,C,3,8/5/2021,10,16000,32,258,0.1,6.6,0.2,21.2
WILD,LOW,1,1,D,4,8/5/2021,10,23000,46,292,0.1,9.5,0.3,29.1
WILD,LOW,1,1,E,5,8/5/2021,10,27500,55,288,0.1,11.4,0.4,35.9
WILD,MODERATE,1,1,A,6,8/5/2021,10,16500,33,220,0.1,6.8,0.3,33.1
WILD,MODERATE,1,1,B,7,8/5/2021,10,16500,33,217,0.1,6.8,0.3,30.1
WILD,MODERATE,1,1,C,8,8/5/2021,10,19000,38,179,0.1,7.9,0.4,41.8
WILD,MODERATE,1,1,D,9,8/5/2021,10,19500,39,222,0.1,8.1,0.4,35.2
WILD,MODERATE,1,1,E,10,8/5/2021,10,19500,39,242,0.1,8.6,0.3,32.6
WILD,HIGH,1,1,A,11,8/5/2021,10,1800,9,96,0.0,0.7,0.1,5.2
WILD,HIGH,1,1,B,12,8/5/2021,10,1000,5,84,0.0,0.4,0.0,3.6
WILD,HIGH,1,1,C,13,8/5/2021,10,800,4,71,0.0,0.3,0.0,3.2
WILD,HIGH,1,1,D,14,8/5/2021,10,200,1,53,0.0,0.1,0.0,1.2
WILD,HIGH,1,1,E,15,8/5/2021,10,500,1,74,0.0,0.2,0.0,2.2
WILD,LOW,1,1,A,1,8/9/2021,14,21077,23,343,0.1,8.7,0.2,23.2
WILD,LOW,1,1,B,2,8/9/2021,14,21000,42,359,0.1,8.7,0.3,32.8
WILD,LOW,1,1,C,3,8/9/2021,14,14567,19,290,0.1,6.0,0.2,19.3
WILD,LOW,1,1,D,4,8/9/2021,14,15400,21,338,0.1,6.3,0.2,19.5
WILD,LOW,1,1,E,5,8/9/2021,14,24725,43,343,0.1,10.2,0.3,32.3
WILD,MODERATE,1,1,A,6,8/9/2021,14,19067,26,253,0.1,7.9,0.4,38.3
WILD,MODERATE,1,1,B,7,8/9/2021,14,17600,22,250,0.1,7.3,0.3,32.1
WILD,MODERATE,1,1,C,8,8/9/2021,14,22800,36,217,0.1,9.5,0.5,50.2
WILD,MODERATE,1,1,D,9,8/9/2021,14,15600,26,261,0.1,6.4,0.3,28.2
WILD,MODERATE,1,1,E,10,8/9/2021,14,2520,9,281,0.0,1.0,0.0,4.2
WILD,HIGH,1,1,A,11,8/9/2021,14,61,0,105,0.0,0.0,0.0,0.2
WILD,HIGH,1,1,B,12,8/9/2021,14,8,0,89,0.0,0.0,0.0,0.0
WILD,HIGH,1,1,C,13,8/9/2021,14,4,0,75,0.0,0.0,0.0,0.0
WILD,HIGH,1,1,D,14,8/9/2021,14,6,0,54,0.0,0.0,0.0,0.0
WILD,HIGH,1,1,E,15,8/9/2021,14,3,0,75,0.0,0.0,0.0,0.0
WILD,LOW,1,1,A,1,8/13/2021,18,6583,,,0.028,2.764,0.1,7.2
WILD,LOW,1,1,B,2,8/13/2021,18,4300,,,0.018,1.806,0.1,6.7
WILD,LOW,1,1,C,3,8/13/2021,18,2200,,,0.009,0.924,0.0,2.9
WILD,LOW,1,1,D,4,8/13/2021,18,10533,,,0.044,4.423,0.1,13.3
WILD,LOW,1,1,E,5,8/13/2021,18,15083,,,0.063,6.333,0.2,19.6
WILD,MODERATE,1,1,A,6,8/13/2021,18,623,,,0.003,0.262,0.0,1.2
WILD,MODERATE,1,1,B,7,8/13/2021,18,433,,,0.002,0.182,0.0,0.8
WILD,MODERATE,1,1,C,8,8/13/2021,18,3960,,,0.017,1.663,0.1,8.7
WILD,MODERATE,1,1,D,9,8/13/2021,18,1733,,,0.007,0.728,0.0,3.1
WILD,MODERATE,1,1,E,10,8/13/2021,18,400,,,0.002,0.178,0.0,0.7
WILD,HIGH,1,1,A,11,8/13/2021,18,61,,,0,0.026,0.0,0.2
WILD,HIGH,1,1,B,12,8/13/2021,18,23,,,0,0.01,0.0,0.1
LOW,LOW,6,3,A,1,4/7/2023,2,"76,128.00",,,0.19,19.28,1,100
LOW,LOW,6,3,B,2,4/7/2023,2,"60,090.67",,,0.15,15.15,1,100
LOW,LOW,6,3,C,3,4/7/2023,2,"91,466.67",,,0.23,23.37,1,100
MODERATE,LOW,6,3,A,4,4/7/2023,2,"74,612.00",,,0.19,18.93,1,100
MODERATE,LOW,6,3,B,5,4/7/2023,2,"106,358.00",,,0.27,27,1,100
MODERATE,LOW,6,3,C,6,4/7/2023,2,"96,238.67",,,0.25,24.53,1,100
LOW,MODERATE,6,3,A,7,4/7/2023,2,"70,286.67",,,0.18,17.82,1,100
LOW,MODERATE,6,3,B,8,4/7/2023,2,"68,715.33",,,0.17,17.4,1,100
LOW,MODERATE,6,3,C,9,4/7/2023,2,"68,908.00",,,0.17,17.4,1,100
MODERATE,MODERATE,6,3,A,10,4/7/2023,2,"87,360.00",,,0.22,22.17,1,100
MODERATE,MODERATE,6,3,B,11,4/7/2023,2,"74,612.00",,,0.19,18.93,1,100
MODERATE,MODERATE,6,3,C,12,4/7/2023,2,"93,600.00",,,0.24,23.78,1,100
LOW,HIGH,6,3,A,13,4/7/2023,2,"59,453.33",,,0.15,15.07,1,100
LOW,HIGH,6,3,B,14,4/7/2023,2,"85,064.00",,,0.22,21.7,1,100
LOW,HIGH,6,3,C,15,4/7/2023,2,"67,392.00",,,0.17,17.04,1,100
MODERATE,HIGH,6,3,A,16,4/7/2023,2,"117,417.33",,,0.3,29.88,1,100
MODERATE,HIGH,6,3,B,17,4/7/2023,2,"87,360.00",,,0.22,22.17,1,100
MODERATE,HIGH,6,3,C,18,4/7/2023,2,"111,589.33",,,0.29,28.64,1,100
HIGH,LOW,6,3,A,19,4/7/2023,2,"90,844.00",,,0.23,23.1,1,100
HIGH,LOW,6,3,B,20,4/7/2023,2,"70,286.67",,,0.18,17.82,1,100
HIGH,LOW,6,3,C,21,4/7/2023,2,"77,376.00",,,0.2,19.6,1,100
HIGH,MODERATE,6,3,A,22,4/7/2023,2,"106,100.00",,,0.27,26.96,1,100
HIGH,MODERATE,6,3,B,23,4/7/2023,2,"80,838.00",,,0.21,20.56,1,100
HIGH,MODERATE,6,3,C,24,4/7/2023,2,"104,832.00",,,0.27,26.69,1,100
HIGH,HIGH,6,3,A,25,4/7/2023,2,"94,076.00",,,0.24,23.96,1,100
HIGH,HIGH,6,3,B,26,4/7/2023,2,"100,564.00",,,0.26,25.65,1,100
HIGH,HIGH,6,3,C,27,4/7/2023,2,"76,774.67",,,0.19,19.49,1,100
LOW,LOW,6,3,A,1,4/10/2023,5,"36,135.67",,,0.09,9.15,0.475,47.467
LOW,LOW,6,3,B,2,4/10/2023,5,"46,953.00",,,0.12,11.84,0.781,78.137
LOW,LOW,6,3,C,3,4/10/2023,5,"29,964.00",,,0.08,7.65,0.328,32.759
MODERATE,LOW,6,3,A,4,4/10/2023,5,"46,953.00",,,0.12,11.92,0.629,62.93
MODERATE,LOW,6,3,B,5,4/10/2023,5,"58,941.00",,,0.15,14.96,0.554,55.418
MODERATE,LOW,6,3,C,6,4/10/2023,5,"58,283.33",,,0.15,14.85,0.606,60.561
LOW,MODERATE,6,3,A,7,4/10/2023,5,"40,959.00",,,0.1,10.38,0.583,58.274
LOW,MODERATE,6,3,B,8,4/10/2023,5,"32,638.67",,,0.08,8.26,0.475,47.498
LOW,MODERATE,6,3,C,9,4/10/2023,5,"46,631.67",,,0.12,11.77,0.677,67.672
MODERATE,MODERATE,6,3,A,10,4/10/2023,5,"58,622.67",,,0.15,14.88,0.671,67.105
MODERATE,MODERATE,6,3,B,11,4/10/2023,5,"51,961.00",,,0.13,13.19,0.696,69.642
MODERATE,MODERATE,6,3,C,12,4/10/2023,5,"69,930.00",,,0.18,17.77,0.747,74.712
LOW,HIGH,6,3,A,13,4/10/2023,5,"45,778.33",,,0.12,11.61,0.77,76.999
LOW,HIGH,6,3,B,14,4/10/2023,5,"36,135.67",,,0.09,9.22,0.425,42.481
LOW,HIGH,6,3,C,15,4/10/2023,5,"44,295.33",,,0.11,11.2,0.657,65.728
MODERATE,HIGH,6,3,A,16,4/10/2023,5,"53,269.33",,,0.14,13.56,0.454,45.368
MODERATE,HIGH,6,3,B,17,4/10/2023,5,"30,796.33",,,0.08,7.82,0.353,35.252
MODERATE,HIGH,6,3,C,18,4/10/2023,5,"48,275.33",,,0.12,12.39,0.433,43.262
HIGH,LOW,6,3,A,19,4/10/2023,5,"62,425.00",,,0.16,15.87,0.687,68.717
HIGH,LOW,6,3,B,20,4/10/2023,5,"69,940.00",,,0.18,17.73,0.995,99.507
HIGH,LOW,6,3,C,21,4/10/2023,5,"68,251.33",,,0.17,17.3,0.882,88.207
HIGH,MODERATE,6,3,A,22,4/10/2023,5,"64,935.00",,,0.17,16.5,0.612,61.202
HIGH,MODERATE,6,3,B,23,4/10/2023,5,"75,924.00",,,0.19,19.32,0.939,93.921
HIGH,MODERATE,6,3,C,24,4/10/2023,5,"41,958.00",,,0.11,10.68,0.4,40.024
HIGH,HIGH,6,3,A,25,4/10/2023,5,"55,944.00",,,0.14,14.25,0.595,59.467
HIGH,HIGH,6,3,B,26,4/10/2023,5,"66,443.00",,,0.17,16.95,0.661,66.07
HIGH,HIGH,6,3,C,27,4/10/2023,5,"47,792.33",,,0.12,12.13,0.623,62.25
LOW,LOW,6,3,A,1,4/12/2023,7,"41,566.67",,,0.11,10.53,0.546,54.601
LOW,LOW,6,3,B,2,4/12/2023,7,"46,517.33",,,0.12,11.73,0.774,77.412
LOW,LOW,6,3,C,3,4/12/2023,7,"23,060.25",,,0.06,5.89,0.252,25.212
MODERATE,LOW,6,3,A,4,4/12/2023,7,"35,747.33",,,0.09,9.07,0.479,47.911
MODERATE,LOW,6,3,B,5,4/12/2023,7,"51,844.00",,,0.13,13.17,0.487,48.745
MODERATE,LOW,6,3,C,6,4/12/2023,7,"34,562.67",,,0.09,8.81,0.359,35.913
LOW,MODERATE,6,3,A,7,4/12/2023,7,"37,886.00",,,0.1,9.61,0.539,53.902
LOW,MODERATE,6,3,B,8,4/12/2023,7,"24,592.67",,,0.06,6.23,0.358,35.789
LOW,MODERATE,6,3,C,9,4/12/2023,7,"31,239.33",,,0.08,7.89,0.453,45.335
MODERATE,MODERATE,6,3,A,10,4/12/2023,7,"42,398.00",,,0.11,10.77,0.485,48.533
MODERATE,MODERATE,6,3,B,11,4/12/2023,7,"39,072.67",,,0.1,9.92,0.524,52.368
MODERATE,MODERATE,6,3,C,12,4/12/2023,7,"59,856.00",,,0.15,15.22,0.639,63.949
LOW,HIGH,6,3,A,13,4/12/2023,7,"2,440.00",,,0.01,0.62,0.041,4.104
LOW,HIGH,6,3,B,14,4/12/2023,7,"32,422.00",,,0.08,8.27,0.381,38.115
LOW,HIGH,6,3,C,15,4/12/2023,7,"31,239.33",,,0.08,7.9,0.464,46.355
MODERATE,HIGH,6,3,A,16,4/12/2023,7,"31,590.67",,,0.08,8.04,0.269,26.905
MODERATE,HIGH,6,3,B,17,4/12/2023,7,"20,783.33",,,0.05,5.28,0.238,23.79
MODERATE,HIGH,6,3,C,18,4/12/2023,7,"20,783.33",,,0.05,5.34,0.186,18.625
HIGH,LOW,6,3,A,19,4/12/2023,7,"41,874.00",,,0.11,10.65,0.461,46.094
HIGH,LOW,6,3,B,20,4/12/2023,7,"34,916.00",,,0.09,8.86,0.497,49.677
HIGH,LOW,6,3,C,21,4/12/2023,7,"41,209.33",,,0.1,10.45,0.533,53.259
HIGH,MODERATE,6,3,A,22,4/12/2023,7,"41,209.33",,,0.1,10.48,0.388,38.84
HIGH,MODERATE,6,3,B,23,4/12/2023,7,"66,506.67",,,0.17,16.93,0.823,82.272
HIGH,MODERATE,6,3,C,24,4/12/2023,7,"39,072.67",,,0.1,9.95,0.373,37.272
HIGH,HIGH,6,3,A,25,4/12/2023,7,"22,446.00",,,0.06,5.72,0.239,23.859
HIGH,HIGH,6,3,B,26,4/12/2023,7,"39,904.00",,,0.1,10.18,0.397,39.68
HIGH,HIGH,6,3,C,27,4/12/2023,7,"32,409.00",,,0.08,8.23,0.422,42.213
LOW,LOW,6,3,A,1,4/17/2023,12,12173,,,0.03,3.04,0.16,15.99
LOW,LOW,6,3,B,2,4/17/2023,12,21249,,,0.05,5.32,0.354,35.362
LOW,LOW,6,3,C,3,4/17/2023,12,15899.56,,,0.04,3.98,0.174,17.383
MODERATE,LOW,6,3,A,4,4/17/2023,12,14428.33,,,0.04,3.61,0.193,19.338
MODERATE,LOW,6,3,B,5,4/17/2023,12,25446.33,,,0.06,6.37,0.239,23.925
MODERATE,LOW,6,3,C,6,4/17/2023,12,14244,,,0.04,3.56,0.148,14.801
LOW,MODERATE,6,3,A,7,4/17/2023,12,10354.26,,,0.03,2.59,0.147,14.731
LOW,MODERATE,6,3,B,8,4/17/2023,12,16121,,,0.04,4.03,0.235,23.461
LOW,MODERATE,6,3,C,9,4/17/2023,12,21056,,,0.05,5.27,0.306,30.557
MODERATE,MODERATE,6,3,A,10,4/17/2023,12,11805,,,0.03,2.95,0.135,13.513
MODERATE,MODERATE,6,3,B,11,4/17/2023,12,16618,,,0.04,4.16,0.223,22.273
MODERATE,MODERATE,6,3,C,12,4/17/2023,12,15463,,,0.04,3.87,0.165,16.52
LOW,HIGH,6,3,A,13,4/17/2023,12,17212,,,0.04,4.3,0.29,28.95
LOW,HIGH,6,3,B,14,4/17/2023,12,10613.33,,,0.03,2.65,0.125,12.477
LOW,HIGH,6,3,C,15,4/17/2023,12,20242,,,0.05,5.06,0.3,30.036
MODERATE,HIGH,6,3,A,16,4/17/2023,12,8704.67,,,0.02,2.18,0.074,7.413
MODERATE,HIGH,6,3,B,17,4/17/2023,12,15035.33,,,0.04,3.76,0.172,17.211
MODERATE,HIGH,6,3,C,18,4/17/2023,12,10199,,,0.03,2.55,0.091,9.14
HIGH,LOW,6,3,A,19,4/17/2023,12,19783.33,,,0.05,4.95,0.218,21.777
HIGH,LOW,6,3,B,20,4/17/2023,12,22157.33,,,0.06,5.54,0.315,31.524
HIGH,LOW,6,3,C,21,4/17/2023,12,25708.67,,,0.06,6.43,0.332,33.226
HIGH,MODERATE,6,3,A,22,4/17/2023,12,30597,,,0.08,7.66,0.288,28.838
HIGH,MODERATE,6,3,B,23,4/17/2023,12,21385,,,0.05,5.35,0.265,26.454
HIGH,MODERATE,6,3,C,24,4/17/2023,12,28294,,,0.07,7.08,0.27,26.99
HIGH,HIGH,6,3,A,25,4/17/2023,12,17805,,,0.04,4.45,0.189,18.926
HIGH,HIGH,6,3,B,26,4/17/2023,12,13641.33,,,0.03,3.41,0.136,13.565
HIGH,HIGH,6,3,C,27,4/17/2023,12,13057,,,0.03,3.27,0.17,17.007
LOW,LOW,6,3,A,1,4/21/2023,16,"6,629.00",,,0.02,1.66,0.087,8.708
LOW,LOW,6,3,B,2,4/21/2023,16,"13,990.00",,,0.04,3.5,0.233,23.281
LOW,LOW,6,3,C,3,4/21/2023,16,"10,684.00",,,0.03,2.67,0.117,11.681
MODERATE,LOW,6,3,A,4,4/21/2023,16,"6,875.00",,,0.02,1.72,0.092,9.214
MODERATE,LOW,6,3,B,5,4/21/2023,16,"13,752.00",,,0.03,3.44,0.129,12.93
MODERATE,LOW,6,3,C,6,4/21/2023,16,"7,364.00",,,0.02,1.84,0.077,7.652
LOW,MODERATE,6,3,A,7,4/21/2023,16,"7,772.00",,,0.02,1.94,0.111,11.058
LOW,MODERATE,6,3,B,8,4/21/2023,16,"11,659.00",,,0.03,2.92,0.17,16.967
LOW,MODERATE,6,3,C,9,4/21/2023,16,"15,559.00",,,0.04,3.89,0.226,22.579
MODERATE,MODERATE,6,3,A,10,4/21/2023,16,"7,364.00",,,0.02,1.84,0.084,8.429
MODERATE,MODERATE,6,3,B,11,4/21/2023,16,"10,456.00",,,0.03,2.61,0.14,14.014
MODERATE,MODERATE,6,3,C,12,4/21/2023,16,"8,669.00",,,0.02,2.17,0.093,9.262
LOW,HIGH,6,3,A,13,4/21/2023,16,"7,717.00",,,0.02,1.93,0.13,12.98
LOW,HIGH,6,3,B,14,4/21/2023,16,"2,782.00",,,0.01,0.7,0.033,3.27
LOW,HIGH,6,3,C,15,4/21/2023,16,"14,350.00",,,0.04,3.59,0.213,21.293
MODERATE,HIGH,6,3,A,16,4/21/2023,16,"6,154.00",,,0.02,1.54,0.052,5.241
MODERATE,HIGH,6,3,B,17,4/21/2023,16,"5,725.00",,,0.01,1.43,0.066,6.553
MODERATE,HIGH,6,3,C,18,4/21/2023,16,"6,280.00",,,0.02,1.57,0.056,5.628
HIGH,LOW,6,3,A,19,4/21/2023,16,"14,051.00",,,0.04,3.51,0.155,15.467
HIGH,LOW,6,3,B,20,4/21/2023,16,"17,639.00",,,0.04,4.41,0.251,25.096
HIGH,LOW,6,3,C,21,4/21/2023,16,"13,693.00",,,0.03,3.42,0.177,17.697
HIGH,MODERATE,6,3,A,22,4/21/2023,16,"20,031.00",,,0.05,5.01,0.189,18.879
HIGH,MODERATE,6,3,B,23,4/21/2023,16,"8,218.00",,,0.02,2.05,0.102,10.166
HIGH,MODERATE,6,3,C,24,4/21/2023,16,"14,440.00",,,0.04,3.61,0.138,13.774
HIGH,HIGH,6,3,A,25,4/21/2023,16,"16,432.00",,,0.04,4.11,0.175,17.467
HIGH,HIGH,6,3,B,26,4/21/2023,16,"13,717.00",,,0.03,3.43,0.136,13.64
HIGH,HIGH,6,3,C,27,4/21/2023,16,"11,142.00",,,0.03,2.79,0.145,14.513
