"Generation","pCO2_Treatment","Salinity","Temperature","pCO2","pH_NBS","pH_total_scale","TA","DIC","Calcite.Sat","Aragonite.Sat"
"F1","Low","27.1 ± 0.015 (6)","22.7 ± 0.0357 (6)","380 ± 17.6 (6)","7.96 ± 0.00644 (6)","8.02 ± 0.0173 (6)","1930 ± 8.61 (6)","1740 ± 6.31 (6)","3.52 ± 0.124 (6)","2.25 ± 0.0795 (6)"
"F1","Moderate","27.1 ± 0.026 (6)","22.7 ± 0.0348 (6)","654 ± 19.6 (6)","7.76 ± 0.00375 (6)","7.81 ± 0.0123 (6)","1930 ± 5.64 (6)","1820 ± 3.47 (6)","2.36 ± 0.0626 (6)","1.51 ± 0.0401 (6)"
"F1","High","27.1 ± 0.028 (6)","22.7 ± 0.0385 (6)","1390 ± 43.9 (6)","7.44 ± 0.00765 (6)","7.52 ± 0.013 (6)","1940 ± 5.93 (6)","1910 ± 3.31 (6)","1.27 ± 0.0374 (6)","0.816 ± 0.024 (6)"
"F2","Low","29 ± 0.0575 (7)","23.8 ± 0.0752 (7)","405 ± 16 (7)","8.02 ± 0.0153 (7)","8 ± 0.0173 (7)","1990 ± 13.9 (7)","1780 ± 6.3 (7)","3.74 ± 0.153 (7)","2.42 ± 0.0992 (7)"
"F2","Moderate","29 ± 0.0458 (7)","23.8 ± 0.0648 (7)","801 ± 37.8 (7)","7.78 ± 0.0131 (7)","7.74 ± 0.0199 (7)","1990 ± 13.3 (7)","1880 ± 13.2 (7)","2.26 ± 0.0971 (7)","1.46 ± 0.0628 (7)"
