"Generation","pCO2_Treatment","Salinity","Temperature","pCO2","pH","TA","DIC","Aragonite.Sat"
"F1","Low","27.1 ± 0.0653 (5)","22.7 ± 0.0862 (5)","382 ± 20.9 (5)","8.03 ± 0.0201 (5)","1930 ± 9.12 (5)","1740 ± 7.17 (5)","2.25 ± 0.0923 (5)"
"F1","Moderate","27 ± 0.0573 (5)","22.7 ± 0.0662 (5)","648 ± 17.4 (5)","7.83 ± 0.0113 (5)","1930 ± 6.47 (5)","1810 ± 4.19 (5)","1.52 ± 0.0383 (5)"
"F1","High","27.1 ± 0.0523 (5)","22.8 ± 0.0436 (5)","1420 ± 32.9 (5)","7.52 ± 0.0098 (5)","1940 ± 6.77 (5)","1910 ± 4.38 (5)","0.799 ± 0.0202 (5)"
"F2","Low","29 ± 0.0542 (8)","23.8 ± 0.0707 (8)","411 ± 15.6 (8)","8.01 ± 0.0163 (8)","1990 ± 16.1 (7)","1790 ± 11.8 (8)","2.42 ± 0.0926 (8)"
"F2","Moderate","29 ± 0.0536 (8)","23.8 ± 0.0722 (8)","823 ± 28.1 (8)","7.74 ± 0.0137 (8)","1990 ± 8.52 (7)","1890 ± 9.21 (8)","1.42 ± 0.0388 (8)"
