Date,Channel,Lpc,Leq,Lz,alpha,Filename
4/22/2022,A1,-0.00924888,-0.009701911,-0.009701911,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,A2,-0.002248456,-0.002449025,-0.002449025,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,A3,-0.002841346,-0.00284893,-0.002491856,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,A4,-0.00244566,-0.002226488,-0.002087347,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,A5,-0.005441693,-0.005987997,-0.005987997,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,A6,-0.002209361,-0.001920863,0.000751127,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,B1,-0.006466814,-0.006466461,-0.007158055,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,B2,-0.001896929,-0.002078022,-0.002078022,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,B3,-0.007134447,-0.00612372,-0.00612372,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,B4,-0.005273656,-0.005018356,-0.006758992,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,B5,-0.00076576,-0.000708163,-0.000708163,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,B6,4.17E-05,-0.000189985,0.00015904,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,C1,-0.004420358,-0.004420358,-0.005113026,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,C2,0.000462947,-0.00018533,-0.00018533,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,C3,-0.000689501,-0.000131295,-0.002361059,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,C4,-0.003706301,-0.002422711,-0.002268186,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,C5,-0.003739175,-0.004030045,-0.004030045,0.4,RR_4.22.22_resp_Plate1.csv
4/22/2022,C6,-0.00165295,-0.001013825,-0.001013825,0.4,RR_4.22.22_resp_Plate1.csv
