"","Larvae_pCO2","mean_Perc_def","n","sd_Perc_def","se_Perc_def"
"1","Low pCO2",0.091,3,0.0398497176903426,0.0230072452356499
"2","Moderate pCO2",0.106,3,0.0795675813381304,0.045938364504337
